this_publ,title
https://dblp.org/rec/conf/icfp/DolstraHHHJLLMRS08,Report on the tenth ICFP programming contest.
https://dblp.org/rec/conf/icfp/DolstraL08,NixOS: a purely functional Linux distribution.
https://dblp.org/rec/conf/icfp/DonnellyF06,Transactional events.
https://dblp.org/rec/conf/icfp/Dornan97,Affordable Dynamic Types.
https://dblp.org/rec/conf/icfp/DownenA14,Compositional semantics for composable continuations: from abortive to delimited control.
https://dblp.org/rec/conf/icfp/DownenJA15,Structures for structural recursion.
https://dblp.org/rec/conf/icfp/DownenMAJ16,Sequent calculus as a compiler intermediate language.
https://dblp.org/rec/conf/icfp/DowseB06,Modelling deterministic concurrent I/O.
https://dblp.org/rec/conf/icfp/Draves97,Implementing Bit-addressing with Specialization.
https://dblp.org/rec/conf/icfp/Dreyer05,Recursive type generativity.
https://dblp.org/rec/conf/icfp/Dreyer07,A type system for recursive modules.
https://dblp.org/rec/conf/icfp/DreyerNB10,The impact of higher-order state and control effects on local relational reasoning.
https://dblp.org/rec/conf/icfp/DreyerR08,Mixin' up the ML module system.
https://dblp.org/rec/conf/icfp/DubeF02,A demand-driven adaptive type analysis.
https://dblp.org/rec/conf/icfp/Duggan01,Type-Based Hot Swapping of Running Modules.
https://dblp.org/rec/conf/icfp/DugganS96,Mixin Modules.
https://dblp.org/rec/conf/icfp/DukeBRW08,Experience report: visualizing data through functional pipelines.
https://dblp.org/rec/conf/icfp/Dunfield12,Elaborating intersection and union types.
https://dblp.org/rec/conf/icfp/Dunfield15,Elaborating evaluation-order polymorphism.
https://dblp.org/rec/conf/icfp/DunfieldK13,Complete and easy bidirectional typechecking for higher-rank polymorphism.
https://dblp.org/rec/conf/icfp/Duris97,Functional Programming and Attribute Grammars Deforestation.
https://dblp.org/rec/conf/icfp/DussartHT97,Type Specialization for Imperative Languages.
https://dblp.org/rec/conf/icfp/Dybvig06,The development of Chez Scheme.
https://dblp.org/rec/conf/icfp/EarlSMH12,Introspective pushdown analysis of higher-order programs.
https://dblp.org/rec/conf/icfp/EdalatPS98,Lazy Computation with Exact Real Numbers.
https://dblp.org/rec/conf/icfp/Effinger-DeanKG08,Transactional events for ML.
https://dblp.org/rec/conf/icfp/Eich05,JavaScript at ten years.
https://dblp.org/rec/conf/icfp/Elliott07,Tangible functional programming.
https://dblp.org/rec/conf/icfp/Elliott09,Beautiful differentiation.
https://dblp.org/rec/conf/icfp/ElliottH97,Functional Reactive Animation.
https://dblp.org/rec/conf/icfp/Elsman99,Static Interpretation of Modules.
https://dblp.org/rec/conf/icfp/EmotoMHMI16,"Think like a vertex, behave like a function! a functional DSL for vertex-centric big graph processing."
https://dblp.org/rec/conf/icfp/EndrullisHB12,On the complexity of equivalence of specifications of infinite objects.
https://dblp.org/rec/conf/icfp/Ennals98,Controlled Temporal Non-Determinism for Reasoning with a Machine of Finite Speed.
https://dblp.org/rec/conf/icfp/Ennals98a,Verbose Typing.
https://dblp.org/rec/conf/icfp/EnnalsG07,User-friendly functional programming for web mashups.
https://dblp.org/rec/conf/icfp/EnnalsJ03,Optimistic evaluation: an adaptive evaluation strategy for non-strict programs.
https://dblp.org/rec/conf/icfp/ErkokL00,Recursive monadic bindings.
https://dblp.org/rec/conf/icfp/Erlich98,Implementing Design Patterns as Language Constructs.
https://dblp.org/rec/conf/icfp/Erwig97,Functional Programming with Graphs.
https://dblp.org/rec/conf/icfp/Faggian98,A Term Calculus for Unitary Approach to Nomalization.
https://dblp.org/rec/conf/icfp/FahndrichB97,Statically Checkable Pattern Abstractions.
https://dblp.org/rec/conf/icfp/Faxen00,Cheap eagerness: speculative evaluation in a lazy functional language.
https://dblp.org/rec/conf/icfp/Felleisen10,TeachScheme!: a checkpoint.
https://dblp.org/rec/conf/icfp/FelleisenFFK09,"A functional I/O system or, fun for freshman kids."
https://dblp.org/rec/conf/icfp/FengS05,Modular verification of concurrent assembly code with dynamic thread creation and termination.
https://dblp.org/rec/conf/icfp/FerreiraHJ96,A Theory of Weak Bisimulation for Core CML.
https://dblp.org/rec/conf/icfp/FessantM01,Optimizing Pattern Matching.
https://dblp.org/rec/conf/icfp/Filinski11,Towards a comprehensive theory of monadic effects.
https://dblp.org/rec/conf/icfp/FilinskiS07,Inductive reasoning about effectful data types.
https://dblp.org/rec/conf/icfp/Findler14,Behavioral software contracts.
https://dblp.org/rec/conf/icfp/FindlerF02,Contracts for higher-order functions.
https://dblp.org/rec/conf/icfp/FindlerF04,Slideshow: functional presentations.
https://dblp.org/rec/conf/icfp/FindlerF98,Modular Object-Oriented Programming with Units and Mixins.
https://dblp.org/rec/conf/icfp/FinneLMJ98,H/Direct: A Binary Foreign Language Interface for Haskell.
https://dblp.org/rec/conf/icfp/FinneLMJ99,Calling Hell From Heaven and Heaven From Hell.
https://dblp.org/rec/conf/icfp/FischerHW10,A play on regular expressions: functional pearl.
https://dblp.org/rec/conf/icfp/FischerK08,Data-flow testing of declarative programs.
https://dblp.org/rec/conf/icfp/FischerKS09,Purely functional lazy non-deterministic programming.
https://dblp.org/rec/conf/icfp/Fisher14,Using formal methods to enable more secure vehicles: DARPA's HACMS program.
https://dblp.org/rec/conf/icfp/FisherFWZ11,Forest: a language and toolkit for programming with filestores.
https://dblp.org/rec/conf/icfp/FisherS06,Static analysis for syntax objects.
https://dblp.org/rec/conf/icfp/FlanaganN96,pHluid: The Design of a Parallel Functional Language Implementation on Workstations.
https://dblp.org/rec/conf/icfp/Flatt02,Composable and compilable macros: : you want it when?
https://dblp.org/rec/conf/icfp/FlattBF09,Scribble: closing the book on ad hoc documentation tools.
https://dblp.org/rec/conf/icfp/FlattFKF99,Programming Languages as Operating Systems (or Revenge of the Son of the Lisp Machine).
https://dblp.org/rec/conf/icfp/FlattYFF07,Adding delimited and composable control to a production programming environment.
https://dblp.org/rec/conf/icfp/FluetM04,Monadic regions.
https://dblp.org/rec/conf/icfp/FluetRR08,A scheduling framework for general-purpose parallel languages.
https://dblp.org/rec/conf/icfp/FluetRRS08,Implicitly-threaded parallelism in Manticore.
https://dblp.org/rec/conf/icfp/FluetW01,Contification Using Dominators.
https://dblp.org/rec/conf/icfp/FoltzerKSSJN12,A meta-scheduler for the par-monad: composable scheduling for the heterogeneous cloud.
https://dblp.org/rec/conf/icfp/Ford02,"Packrat parsing: : simple, powerful, lazy, linear time, functional pearl."
https://dblp.org/rec/conf/icfp/ForsbergR04,Functional morphology.
https://dblp.org/rec/conf/icfp/FosterHFMRSW11,Frenetic: a network programming language.
https://dblp.org/rec/conf/icfp/FosterPP08,Quotient lenses.
https://dblp.org/rec/conf/icfp/FredlundS07,McErlang: a model checker for a distributed functional programming language.
https://dblp.org/rec/conf/icfp/FredrikssonG14,Krivine nets: a semantic foundation for distributed execution.
https://dblp.org/rec/conf/icfp/Frenzel07,Experience report: building an eclipse-based IDE for Haskell.
https://dblp.org/rec/conf/icfp/Frisch06,OCaml + XDuce.
https://dblp.org/rec/conf/icfp/GaboardiKOBU16,Combining effects and coeffects via grading.
https://dblp.org/rec/conf/icfp/GaboardiP15,Algebras and coalgebras in the light affine Lambda calculus.
https://dblp.org/rec/conf/icfp/GaboardiPP11,Linearity and PCF: a semantic insight!
https://dblp.org/rec/conf/icfp/GanzFW99,Trampolined Style.
https://dblp.org/rec/conf/icfp/GanzST01,"Macros as Multi-Stage Computations: Type-Safe, Generative, Binding Macros in MacroML."
https://dblp.org/rec/conf/icfp/GapeyevLP00,Recursive subtyping revealed: functional pearl.
https://dblp.org/rec/conf/icfp/Garcia13,"Calculating threesomes, with blame."
https://dblp.org/rec/conf/icfp/GasbichlerS02,Final shift for call/cc: : direct implementation of shift and reset.
https://dblp.org/rec/conf/icfp/GasserNN97,Systematic Realisation of Control Flow Analyses for CML.
https://dblp.org/rec/conf/icfp/GauthierP04,Numbering matters: first-order canonical forms for second-order recursive types.
https://dblp.org/rec/conf/icfp/GazagnaireH09,OXenstored: an efficient hierarchical and transactional database using functional programming with reference cell comparisons.
https://dblp.org/rec/conf/icfp/GenevesG15,XQuery and static typing: tackling the problem of backward axes.
https://dblp.org/rec/conf/icfp/GenevesLQ09,Identifying query incompatibilities with evolving XML schemas.
https://dblp.org/rec/conf/icfp/GesbertGL11,Parametric polymorphism and semantic subtyping: the logical connection.
https://dblp.org/rec/conf/icfp/GhaniJUV05,Monadic augment and generalised short cut fusion.
https://dblp.org/rec/conf/icfp/Ghelli96,Complexity of Kernel Fun Subtype Checking.
https://dblp.org/rec/conf/icfp/GhicaSS11,Geometry of synthesis iv: compiling affine recursion into static hardware.
https://dblp.org/rec/conf/icfp/GhuloumD07,Implicit phasing for R6RS libraries.
https://dblp.org/rec/conf/icfp/GibbonsH11,Just do it: simple monadic equational reasoning.
https://dblp.org/rec/conf/icfp/GibbonsJ98,The Under-Appreciated Unfold.
https://dblp.org/rec/conf/icfp/GibbonsW14,Folding domain-specific languages: deep and shallow embeddings (functional Pearl).
https://dblp.org/rec/conf/icfp/GillF11,Deriving an efficient FPGA implementation of a low density parity check forward error corrector.
https://dblp.org/rec/conf/icfp/Gilray0M16,Allocation characterizes polyvariance: a unified methodology for polyvariant control-flow analysis.
https://dblp.org/rec/conf/icfp/Glew99,Type Dispatch for Named Hierarchical Types.
https://dblp.org/rec/conf/icfp/GlynnSSS02,Exception analysis for non-strict languages.
https://dblp.org/rec/conf/icfp/GonthierZND11,How to make ad hoc proof automation less ad hoc.
https://dblp.org/rec/conf/icfp/Gordon10,ML: metalanguage or object language?
https://dblp.org/rec/conf/icfp/GostanzaPN96,A New Look to Pattern Matching in Abstract Data Types.
https://dblp.org/rec/conf/icfp/GotsmanY11,Modular verification of preemptive OS kernels.
https://dblp.org/rec/conf/icfp/GrabmayerR14,Maximal sharing in the Lambda calculus with letrec.
https://dblp.org/rec/conf/icfp/Graham04,Don't make the wrong mistakes: programming as debugging.
https://dblp.org/rec/conf/icfp/GregoireL02,A compiled implementation of strong reduction.
https://dblp.org/rec/conf/icfp/Grobauer01,Cost Recurrences for DML Programs.
https://dblp.org/rec/conf/icfp/GuillemetteM08,A type-preserving compiler in Haskell.
https://dblp.org/rec/conf/icfp/Gustavsson98,A Type Based Sharing Analysis for Update Avoidance and Optimisation.
https://dblp.org/rec/conf/icfp/GustavssonS01,Possibilities and Limitations of Call-by-Need Space Improvement.
https://dblp.org/rec/conf/icfp/HackettH14,Worker/wrapper/makes it/faster.
https://dblp.org/rec/conf/icfp/HageHM07,A generic usage analysis with subeffect qualifiers.
https://dblp.org/rec/conf/icfp/Haiming98,Combining CFG and Recursive Functions to Get a New Language.
https://dblp.org/rec/conf/icfp/HallgrenJLT05,A principled approach to operating system construction in Haskell.
https://dblp.org/rec/conf/icfp/Hanna02,Interactive visual functional programming.
https://dblp.org/rec/conf/icfp/HannanH98,Higher-Order Arity Raising.
https://dblp.org/rec/conf/icfp/HansenC02,An experimental study of renewal-older-first garbage collection.
https://dblp.org/rec/conf/icfp/HardinMP96,Functional Back-Ends within the Lambda-Sigma Calculus.
https://dblp.org/rec/conf/icfp/Harper05,Mechanizing the meta-theory of programming languages.
https://dblp.org/rec/conf/icfp/HarperP00,Advanced module systems: a guide for the perplexed (abstract of invited talk).
https://dblp.org/rec/conf/icfp/HarrisS07,Feedback directed implicit parallelism.
https://dblp.org/rec/conf/icfp/HeerenHS03,Scripting the type inference process.
https://dblp.org/rec/conf/icfp/HeintzeM97,On the Complexity of Set-Based Analysis.
https://dblp.org/rec/conf/icfp/Henglein08,Generic discrimination: sorting and paritioning unshared data in linear time.
https://dblp.org/rec/conf/icfp/HenryMCM12,Typing unmarshalling without marshalling types.
https://dblp.org/rec/conf/icfp/Herman07,"Functional pearl: the great escape or, how to jump the border without getting caught."
https://dblp.org/rec/conf/icfp/HermanM04,Improving the static analysis of embedded languages via partial evaluation.
https://dblp.org/rec/conf/icfp/HickeyNYK06,Mechanized meta-reasoning using a hybrid HOAS/de bruijn representation and reflection.
https://dblp.org/rec/conf/icfp/HickeyPEBL14,Building embedded systems with embedded DSLs.
https://dblp.org/rec/conf/icfp/HicksKMGN98,PLAN: A Packet Language for Active Networks.
https://dblp.org/rec/conf/icfp/HicksMN97,The Measured Cost of Copying Garbage Collection Mechanisms.
https://dblp.org/rec/conf/icfp/HidakaAHKN13,Structural recursion for querying ordered graphs.
https://dblp.org/rec/conf/icfp/HidakaHIKMN10,Bidirectionalizing graph transformations.
https://dblp.org/rec/conf/icfp/HiguchiO03,A static type system for JVM access control.
https://dblp.org/rec/conf/icfp/Hinze00,Deriving backtracking monad transformers.
https://dblp.org/rec/conf/icfp/Hinze01,A Simple Implementation Technique for Priority Search Queues.
https://dblp.org/rec/conf/icfp/Hinze02,Bootstrapping one-sided flexible arrays.
https://dblp.org/rec/conf/icfp/Hinze04,Generics for the masses.
https://dblp.org/rec/conf/icfp/Hinze08,Functional pearl: streams and unique fixed points.
https://dblp.org/rec/conf/icfp/Hinze09,Functional pearl: la tour d'Hanoï.
https://dblp.org/rec/conf/icfp/HinzeJ11,Proving the unique fixed-point principle correct: an adventure with category theory.
https://dblp.org/rec/conf/icfp/HinzeWG13,Unifying structured recursion schemes.
https://dblp.org/rec/conf/icfp/HoldermansH10,Polyvariant flow analysis with higher-ranked polymorphic types and higher-order effect operators.
https://dblp.org/rec/conf/icfp/Honda04,From process logic to program logic.
https://dblp.org/rec/conf/icfp/HornM07,Relating complexity and precision in control flow analysis.
https://dblp.org/rec/conf/icfp/HornM08,Deciding kCFA is complete for EXPTIME.
